Commune,mean
GERMIGNY-SOUS-COULOMBS,1680.0
FONTENAY-EN-PARISIS,3266.0
CHARENTON-LE-PONT,8506.0
SAINT-CYR-SOUS-DOURDAN,2722.0
VALPUISEAUX,2611.0
LE PIN,3331.0
PARIS-10E-ARRONDISSEMENT,10772.0
RUEIL-MALMAISON,7494.0
LISSES,3100.0
MONTGE-EN-GOELE,2819.0
COURCOURONNES,
VILLIERS-LE-BEL,3007.0
CROISSY-SUR-SEINE,6947.0
PARIS-16E-ARRONDISSEMENT,12037.0
POMMEUSE,2501.0
GUITRANCOURT,2900.0
MORSANG-SUR-ORGE,3683.0
LEVALLOIS-PERRET,9962.0
ROISSY-EN-BRIE,3655.0
VOULTON,1504.0
LA CELLE-LES-BORDES,3244.0
MONTHYON,3041.0
LES BREVIAIRES,4033.0
COUBRON,3395.0
VIGNEUX-SUR-SEINE,3682.0
SAINT-MARTIN-DU-BOSCHET,1761.0
RUPEREUX,1499.0
JOUARS-PONTCHARTRAIN,3724.0
BERNAY-VILBERT,2756.0
LE MEE-SUR-SEINE,2573.0
GARCHES,7502.0
DAMPMART,3820.0
CHAMPAGNE-SUR-OISE,3303.0
REUIL-EN-BRIE,2175.0
CHATENAY-MALABRY,5598.0
VIGNELY,3051.0
LONGVILLIERS,2951.0
SAGY,3018.0
LA FORET-SAINTE-CROIX,2396.0
CHELLES,3948.0
SAINT-CYR-SUR-MORIN,2118.0
MARLES-EN-BRIE,3037.0
MARNES-LA-COQUETTE,8033.0
MEILLERAY,1779.0
TREMBLAY-EN-FRANCE,3490.0
AIGREMONT,4851.0
LIMOURS,3628.0
LA VILLENEUVE-EN-CHEVRIE,2960.0
BOUSSY-SAINT-ANTOINE,3562.0
ORMESSON,2017.0
COURGENT,2390.0
VERNOU-LA-CELLE-SUR-SEINE,2359.0
BENNECOURT,2215.0
VERNEUIL-L'ETANG,2739.0
OSNY,3561.0
MARCOUSSIS,3547.0
FEROLLES-ATTILLY,3384.0
LE PLESSIS-L'EVEQUE,2566.0
POIGNY-LA-FORET,3621.0
PARIS-4E-ARRONDISSEMENT,13256.0
CHESSY,4536.0
VARREDDES,2950.0
LE PLESSIS-TREVISE,4189.0
CHAMPAGNE-SUR-SEINE,2408.0
MONTDAUPHIN,1671.0
BUSSY-SAINT-MARTIN,4186.0
SAINTRY-SUR-SEINE,3395.0
BOUFFEMONT,3503.0
BETHEMONT-LA-FORET,3335.0
LES GRANGES-LE-ROI,2882.0
BOULANCOURT,1824.0
VAUREAL,3609.0
NANTEAU-SUR-ESSONNE,2741.0
LE PLESSIS-ROBINSON,6321.0
CHANTELOUP-LES-VIGNES,3409.0
NOISY-SUR-ECOLE,2977.0
FONTENAY-TRESIGNY,3076.0
JUTIGNY,1722.0
CHEVRU,2219.0
SAACY-SUR-MARNE,2536.0
ECUELLES,
GOUAIX,1880.0
CRETEIL,4718.0
BUSSIERES,1964.0
SAMOIS-SUR-SEINE,3726.0
COUTEVROULT,3332.0
SIVRY-COURTRY,2949.0
LE PLESSIS-AUX-BOIS,2203.0
MAURECOURT,4076.0
CHAUMONTEL,3557.0
BONDOUFLE,3132.0
TOURNAN-EN-BRIE,3423.0
MAUPERTHUIS,2364.0
FROMONT,2360.0
VILLIERS-ADAM,3927.0
FONTENAY-LES-BRIIS,3133.0
LA CHAPELLE-SAINT-SULPICE,2140.0
FOLLAINVILLE-DENNEMONT,2520.0
QUIERS,2290.0
FLINS-NEUVE-EGLISE,2488.0
ANDELU,3795.0
DHUISY,1841.0
STAINS,3507.0
CHALOU-MOULINEUX,2547.0
SOISY-BOUY,1890.0
SAINT-GERMAIN-LES-CORBEIL,3488.0
FONTENAY-AUX-ROSES,5627.0
BELLOT,1696.0
QUINCY-VOISINS,3138.0
LA FORET-LE-ROI,2690.0
LA CHAPELLE-GAUTHIER,2491.0
EPINAY-SOUS-SENART,2319.0
MOISSY-CRAMAYEL,3199.0
THOMERY,3243.0
LUZANCY,2050.0
BUHY,3139.0
TREUZY-LEVELAY,2240.0
MITRY-MORY,3514.0
HARGEVILLE,3141.0
JUZIERS,2890.0
CHATENOY,2850.0
MELUN,2887.0
BAULNE,3042.0
MONTESSON,5800.0
MARLY-LA-VILLE,3251.0
FOUJU,2695.0
BUC,5598.0
BEYNES,3707.0
JOSSIGNY,3625.0
ISSOU,2877.0
GIREMOUTIERS,2977.0
MONTLIGNON,3870.0
MERE,4309.0
VOISENON,2864.0
DOURDAN,2970.0
NEZEL,2788.0
CHAUMES-EN-BRIE,2787.0
MAREIL-LE-GUYON,3527.0
BREVAL,2736.0
GENNEVILLIERS,4737.0
EMANCE,2925.0
LONGUEVILLE,2194.0
ETREPILLY,2611.0
LE PLESSIS-GASSOT,4106.0
LA FERTE-ALAIS,3175.0
BROU-SUR-CHANTEREINE,3826.0
COURTACON,1821.0
VILLENEUVE-SAINT-DENIS,3696.0
GUERARD,2807.0
ECQUEVILLY,3276.0
VAUX-SUR-SEINE,3375.0
COLLEGIEN,3990.0
BREUX-JOUY,3082.0
ACHERES,3956.0
MAGNANVILLE,2758.0
ARMENTIERES-EN-BRIE,2659.0
VILLE-D'AVRAY,6978.0
SAINTE-MESME,2670.0
MAFFLIERS,3382.0
BOINVILLE-EN-MANTOIS,2694.0
GARGES-LES-GONESSE,3127.0
NEAUPHLE-LE-CHATEAU,4163.0
SERMAISE,2956.0
LES MARETS,2504.0
ELANCOURT,3317.0
MEIGNEUX,1849.0
COULOMMIERS,2602.0
VIDELLES,2854.0
BAGNOLET,6588.0
CUCHARMOY,
COURCHAMP,1497.0
VOULX,1938.0
ATHIS-MONS,4087.0
GUERVILLE,2841.0
BOUAFLE,3651.0
ROZAY-EN-BRIE,2813.0
SAINT-CYR-L'ECOLE,4827.0
CERNY,2940.0
ANGERVILLE,2149.0
BEAUVOIR,2480.0
LIMOGES-FOURCHES,3227.0
LA VERRIERE,3795.0
JAMBVILLE,2778.0
TACOIGNIERES,3031.0
VILLEPREUX,4052.0
CHAMPEAUX,2790.0
CHAMARANDE,3109.0
SERRIS,4607.0
LIVRY-GARGAN,3711.0
GARGENVILLE,3051.0
MASSY,4437.0
MARINES,3299.0
SAINT-SOUPPLETS,2880.0
QUINCY-SOUS-SENART,3637.0
FONTAINE-FOURCHES,1622.0
BOISSY-SOUS-SAINT-YON,3350.0
ICHY,1958.0
LA GENEVRAYE,2603.0
LA QUEUE-EN-BRIE,3559.0
DOMONT,3858.0
BARBEY,1419.0
ARNOUVILLE,3514.0
JOUY-SUR-MORIN,1943.0
VALMONDOIS,4010.0
CHATENAY-SUR-SEINE,1854.0
VARENNES-SUR-SEINE,2470.0
SAINT-MARTIN-DES-CHAMPS,3240.0
VIENNE-EN-ARTHIES,2513.0
FERRIERES-EN-BRIE,4295.0
FLAGY,2546.0
LIVILLIERS,3259.0
SAVIGNY-SUR-ORGE,4086.0
LE PRE-SAINT-GERVAIS,7147.0
VILLIERS-EN-BIERE,6201.0
LISSY,2445.0
MORMANT,2659.0
BOUVILLE,2627.0
MAGNY-EN-VEXIN,2856.0
PRECY-SUR-MARNE,3220.0
LEUDON-EN-BRIE,2102.0
ORSONVILLE,2427.0
SOURDUN,1617.0
EPIAIS-LES-LOUVRES,2976.0
DAMMARTIN-EN-GOELE,3305.0
AULNAY-SUR-MAULDRE,3051.0
BETON-BAZOCHES,1849.0
SAINT-OUEN-SUR-MORIN,2072.0
SAINT-FIACRE,3128.0
BAGNEAUX-SUR-LOING,1797.0
EGLIGNY,1872.0
NEUILLY-PLAISANCE,4766.0
GIRONVILLE,1239.0
MAREIL-EN-FRANCE,3243.0
LES ESSARTS-LE-ROI,3451.0
AUVERS-SAINT-GEORGES,3081.0
SAMOREAU,3620.0
JAGNY-SOUS-BOIS,2485.0
ECOUEN,3476.0
NEUILLY-SUR-SEINE,11762.0
MESSY,3466.0
LE VAUDOUE,3145.0
SANTENY,3615.0
THIAIS,4477.0
FREMECOURT,2968.0
MILON-LA-CHAPELLE,11187.0
CHAUFFRY,1855.0
VILLIERS-SAINT-GEORGES,1578.0
LA FALAISE,2636.0
MORTCERF,3008.0
JANVILLE-SUR-JUINE,3581.0
SOISY-SUR-ECOLE,3434.0
VELIZY-VILLACOUBLAY,6349.0
COULOMMES,2686.0
CHAMPIGNY-SUR-MARNE,4693.0
PRESLES,3796.0
LE PECQ,5958.0
VILLECRESNES,3896.0
L'HAY-LES-ROSES,5393.0
GENICOURT,3433.0
ROISSY-EN-FRANCE,3737.0
SARTROUVILLE,5295.0
MOUSSY-LE-NEUF,3267.0
SAINT-SIMEON,2089.0
CHOISEL,4102.0
SAINT-LEGER,1335.0
BAILLET-EN-FRANCE,3343.0
NEUILLY-EN-VEXIN,4376.0
MONTCHAUVET,2967.0
CONGIS-SUR-THEROUANNE,2521.0
LUMIGNY-NESLES-ORMEAUX,2616.0
SAINT-MICHEL-SUR-ORGE,3404.0
PUSSAY,2092.0
NANTERRE,6309.0
NANTEAU-SUR-LUNAIN,2324.0
ORGERUS,3241.0
CHEVRAINVILLIERS,2102.0
SAINT-YON,2983.0
YERRES,4267.0
HARAVILLIERS,2732.0
NEMOURS,2314.0
BOISEMONT,3269.0
NERVILLE-LA-FORET,2609.0
LIZINES,1421.0
GREZ-SUR-LOING,2684.0
FONTENAY-SAINT-PERE,3019.0
COUPVRAY,3796.0
LOUVRES,3364.0
ARRONVILLE,3044.0
SANCY-LES-PROVINS,1554.0
ABLON-SUR-SEINE,3710.0
MAROLLES-SUR-SEINE,2031.0
MOUSSEAUX-LES-BRAY,1752.0
IVRY-SUR-SEINE,5815.0
CERNAY-LA-VILLE,3260.0
VIEUX-CHAMPAGNE,1893.0
BOIS-COLOMBES,7596.0
SURVILLIERS,3232.0
SAINT-DENIS,4280.0
SAINT-NOM-LA-BRETECHE,5178.0
DRAVEIL,3809.0
SAINT-MAMMES,2745.0
VAUX-LE-PENIL,3086.0
RICHARVILLE,2608.0
MONTRY,3792.0
CESSON,3215.0
VULAINES-LES-PROVINS,1682.0
MOUSSEAUX-SUR-SEINE,2499.0
CORBEIL-ESSONNES,2928.0
ORSAY,4696.0
CHARMENTRAY,2979.0
MAROLLES-EN-BEAUCE,1491.0
CHAUSSY,2571.0
CHAUFOUR-LES-BONNIERES,1984.0
VENDREST,1919.0
MEREVILLE,2270.0
BOISSY-AUX-CAILLES,2331.0
POISSY,4546.0
MANDRES-LES-ROSES,3434.0
JOUARRE,2304.0
NEUVILLE-SUR-OISE,3664.0
SAINT-GERMAIN-SUR-MORIN,3703.0
SAINT-LEU-LA-FORET,4390.0
OTHIS,3203.0
BRUYERES-LE-CHATEL,3240.0
PERTHES,3451.0
GIRONVILLE-SUR-ESSONNE,2837.0
LES PAVILLONS-SOUS-BOIS,3798.0
LES ALLUETS-LE-ROI,4090.0
FLACOURT,2043.0
SENLISSE,3903.0
ISLES-LES-MELDEUSES,2485.0
CHAMBOURCY,4809.0
BURCY,1795.0
SAINT-OUEN-L'AUMONE,3430.0
CLOS-FONTAINE,2528.0
LE TREMBLAY-SUR-MAULDRE,3678.0
BOITRON,1744.0
VINANTES,3328.0
GRIGNY,2980.0
JAIGNES,2191.0
GRETZ-ARMAINVILLIERS,3607.0
VOULANGIS,3299.0
SAINT-MARTIN-DE-BRETHENCOURT,2118.0
CHILLY-MAZARIN,3935.0
DUGNY,2984.0
SAINT-ILLIERS-LA-VILLE,2059.0
ROSNY-SOUS-BOIS,4644.0
NANGIS,2301.0
MARY-SUR-MARNE,2466.0
LE TERTRE-SAINT-DENIS,3181.0
JOUY-LE-CHATEL,2270.0
MONTGERON,4225.0
MONTMORENCY,4611.0
ROMAINVILLE,6155.0
SAINT-MAURICE-MONTCOURONNE,3006.0
LES CLAYES-SOUS-BOIS,3971.0
GADANCOURT,
SAINT-JEAN-DE-BEAUREGARD,3972.0
GIF-SUR-YVETTE,4483.0
CHEVRY-EN-SEREINE,1829.0
LE MESNIL-AMELOT,2802.0
CHALMAISON,1786.0
LA BROSSE-MONTCEAUX,2132.0
LA HAUTEVILLE,5486.0
PONTAULT-COMBAULT,3997.0
DAMMARTIN-SUR-TIGEAUX,2947.0
VINCENNES,9601.0
COURSON-MONTELOUP,3337.0
CHAILLY-EN-BIERE,2912.0
SAINT-SULPICE-DE-FAVIERES,3718.0
MONTCOURT-FROMONVILLE,2394.0
NANTOUILLET,2963.0
PORCHEVILLE,2975.0
LIMEIL-BREVANNES,3722.0
PRINGY,3004.0
BERVILLE,2654.0
BESSANCOURT,4068.0
LESCHEROLLES,1873.0
ROINVILLE,2723.0
VILLEJUIF,5791.0
NONVILLE,3174.0
SAINT-GERMAIN-DE-LA-GRANGE,3599.0
CHENOISE,1895.0
HERBEVILLE,4336.0
CHOISY-LE-ROI,4266.0
ANNET-SUR-MARNE,3489.0
US,3299.0
BRANSLES,1563.0
CHALAUTRE-LA-GRANDE,1574.0
GOMMECOURT,1986.0
BOUTIGNY,2708.0
AVON,3585.0
PARIS-17E-ARRONDISSEMENT,11386.0
VINCY-MANOEUVRE,2538.0
LESIGNY,3721.0
CHATILLON-LA-BORDE,1936.0
EAUBONNE,4735.0
NOISY-LE-SEC,4409.0
THENISY,1305.0
LA MADELEINE-SUR-LOING,1945.0
CHAPET,2973.0
SAINT-AUBIN,4551.0
MONDEVILLE,2505.0
ARGENTIERES,2646.0
CHATENAY-EN-FRANCE,2957.0
D'HUISON-LONGUEVILLE,2900.0
AUTHON-LA-PLAINE,2260.0
SAINT-VRAIN,3429.0
OMERVILLE,2699.0
LEVIS-SAINT-NOM,3730.0
MONTIGNY-LE-GUESDIER,1604.0
MESPUITS,2123.0
VIROFLAY,7209.0
LE HEAULME,3216.0
MAREIL-SUR-MAULDRE,3231.0
DAGNY,2115.0
MARGENCY,4453.0
EVRY-GREGY-SUR-YERRE,3340.0
BONNELLES,3534.0
VILLABE,3204.0
LA HOUSSAYE-EN-BRIE,2987.0
PAROY,1850.0
PARIS-14E-ARRONDISSEMENT,10802.0
VILLEMER,1764.0
MENOUVILLE,8830.0
ORMESSON-SUR-MARNE,4584.0
CHOISY-EN-BRIE,2204.0
BASSEVELLE,2701.0
MAROLLES-EN-HUREPOIX,3369.0
CHARTRONGES,1773.0
FAY-LES-NEMOURS,2274.0
VILLENEUVE-LE-ROI,3920.0
BOISDON,1804.0
LA VILLE-DU-BOIS,3675.0
DARVAULT,2266.0
EVERLY,1687.0
GONESSE,3327.0
GAILLON-SUR-MONTCIENT,2970.0
MEUDON,7511.0
AVRAINVILLE,3829.0
FEUCHEROLLES,4387.0
BREANCON,4465.0
MORTERY,2033.0
FONTAINE-LA-RIVIERE,2099.0
SAINT-ANGE-LE-VIEL,
ARPAJON,3342.0
RENNEMOULIN,7506.0
VILLENEUVE-SUR-BELLOT,1662.0
HODENT,2726.0
IVERNY,2852.0
VULAINES-SUR-SEINE,3134.0
PAMFOU,2871.0
CESSOY-EN-MONTOIS,1727.0
VILLEPINTE,3225.0
CANNES-ECLUSE,2189.0
VILLETTE,2870.0
LE PLESSIS-LUZARCHES,2898.0
