Commune,mean
SAINT-BRICE-SOUS-FORET,3705.0
SAINT-GERMAIN-LAXIS,2936.0
CHANGIS-SUR-MARNE,2618.0
MEZY-SUR-SEINE,2859.0
BOIS-LE-ROI,4331.0
BOULEURS,3297.0
GUERNES,2544.0
FONTENAILLES,2365.0
NOYEN-SUR-SEINE,1509.0
BRAY-SUR-SEINE,1689.0
MARCILLY,2702.0
FONTAINEBLEAU,4795.0
MAY-EN-MULTIEN,1850.0
CHAMPCUEIL,3178.0
JANVRY,3931.0
POINCY,2806.0
MONTAINVILLE,3593.0
PUISEUX-PONTOISE,4405.0
BREUIL-BOIS-ROBERT,2758.0
ORPHIN,2632.0
BONDY,3647.0
LE PLESSIS-PLACY,1745.0
SAINT-CLOUD,8462.0
DOUY-LA-RAMEE,3202.0
BONNEUIL-SUR-MARNE,4659.0
CREVECOEUR-EN-BRIE,2521.0
SAINT-HILAIRE,2849.0
FAVRIEUX,1589.0
ANDILLY,3936.0
VILLETANEUSE,3428.0
MACHAULT,2736.0
BABY,1826.0
MANTES-LA-JOLIE,2934.0
ANTONY,6168.0
SAULX-LES-CHARTREUX,3813.0
ROLLEBOISE,2374.0
CORMEILLES-EN-VEXIN,3614.0
MAROLLES-EN-BRIE,3522.0
LA TRETOIRE,1839.0
BEAUCHAMP,4361.0
VICQ,2608.0
VAIRES-SUR-MARNE,4270.0
MERY-SUR-OISE,3671.0
PALEY,2107.0
AUTOUILLET,3128.0
SAILLY,2592.0
LIEUSAINT,3400.0
LES LOGES-EN-JOSAS,5054.0
CHEPTAINVILLE,3223.0
COURPALAY,2434.0
CHAUFFOUR-LES-ETRECHY,2749.0
CHAMPDEUIL,2970.0
VILLECONIN,3174.0
LA ROCHETTE,3147.0
MONTIGNY-LE-BRETONNEUX,4479.0
PARIS-3E-ARRONDISSEMENT,12714.0
MOUROUX,2586.0
PIERRE-LEVEE,2704.0
PEZARCHES,3283.0
BUCHELAY,2977.0
MANTES-LA-VILLE,2690.0
OZOUER-LE-VOULGIS,2941.0
LUZARCHES,3610.0
BOISSETTES,4234.0
VERNEUIL-SUR-SEINE,4114.0
GARENTREVILLE,2544.0
FORFRY,3019.0
WISSOUS,4707.0
L'ISLE-ADAM,4636.0
SAINT-PRIX,4317.0
MAREIL-MARLY,6407.0
PARIS-6E-ARRONDISSEMENT,15377.0
SAINT-HILARION,2888.0
MONTFERMEIL,3629.0
MONTCEAUX-LES-PROVINS,1355.0
LES ULIS,2517.0
LA FERTE-GAUCHER,1902.0
AUVERNAUX,3086.0
VIARMES,3398.0
CRECY-LA-CHAPELLE,3039.0
PERDREAUVILLE,2598.0
EPINAY-SUR-SEINE,3400.0
RAMBOUILLET,3879.0
LE MESNIL-LE-ROI,6205.0
CHEVANNES,3096.0
HAUTE-ISLE,2612.0
BALLOY,1904.0
BOURAY-SUR-JUINE,3241.0
MONNERVILLE,2457.0
VILLEBON-SUR-YVETTE,4016.0
LE VESINET,7755.0
TANCROU,1508.0
FLINS-SUR-SEINE,3154.0
BOULOGNE-BILLANCOURT,9520.0
OSMOY,3207.0
PALAISEAU,4836.0
TOUSSON,1833.0
MOURS,2988.0
BRUNOY,4109.0
BRIERES-LES-SCELLES,2820.0
GUIRY-EN-VEXIN,2790.0
CHAILLY-EN-BRIE,1879.0
PARIS-19E-ARRONDISSEMENT,9316.0
AMENUCOURT,3195.0
BEZONS,4727.0
PARIS-20E-ARRONDISSEMENT,9719.0
CHARTRETTES,3724.0
BUTHIERS,2158.0
VAUDOY-EN-BRIE,2512.0
HARDRICOURT,3004.0
PISCOP,3739.0
AMPONVILLE,2498.0
LIVERDY-EN-BRIE,2899.0
LAVAL-EN-BRIE,1915.0
GASTINS,2652.0
THIVERVAL-GRIGNON,4134.0
CHALAUTRE-LA-PETITE,1905.0
USSY-SUR-MARNE,2831.0
BULLION,3514.0
ISSY-LES-MOULINEAUX,8572.0
MEULAN-EN-YVELINES,2764.0
REBAIS,2026.0
MONTMAGNY,3442.0
GRISY-SUISNES,3507.0
COULOMBS-EN-VALOIS,1989.0
REMAUVILLE,1836.0
GENAINVILLE,3007.0
CRAVENT,2383.0
LA GRANDE-PAROISSE,2417.0
COIGNIERES,3537.0
MILLEMONT,3529.0
VIEILLE-EGLISE-EN-YVELINES,3026.0
COURANCES,3076.0
HERICY,3439.0
CLERY-EN-VEXIN,2996.0
NOISY-LE-ROI,5416.0
LIZY-SUR-OURCQ,2199.0
SAINT-CYR-LA-RIVIERE,2212.0
MAGNY-LES-HAMEAUX,3876.0
CHALO-SAINT-MARS,2303.0
CHARS,2848.0
PRESLES-EN-BRIE,3393.0
GRAVON,2244.0
FRENEUSE,2577.0
CLICHY-SOUS-BOIS,3246.0
LE COUDRAY-MONTCEAUX,3169.0
MILLY-LA-FORET,3282.0
